Series Id,Series Title,Date,Close,Source Index
ZLY00,Soybean Oil,2014-12-01,32.22,CBOT Soybean
ZLY00,Soybean Oil,2015-01-01,30,CBOT Soybean
ZLY00,Soybean Oil,2015-02-01,32.43,CBOT Soybean
ZLY00,Soybean Oil,2015-03-01,30.39,CBOT Soybean
ZLY00,Soybean Oil,2015-04-01,31.39,CBOT Soybean
ZLY00,Soybean Oil,2015-05-01,33.58,CBOT Soybean
ZLY00,Soybean Oil,2015-06-01,33.56,CBOT Soybean
ZLY00,Soybean Oil,2015-07-01,29.86,CBOT Soybean
ZLY00,Soybean Oil,2015-08-01,28.17,CBOT Soybean
ZLY00,Soybean Oil,2015-09-01,26.23,CBOT Soybean
ZLY00,Soybean Oil,2015-10-01,26.83,CBOT Soybean
ZLY00,Soybean Oil,2015-11-01,27.6,CBOT Soybean
ZLY00,Soybean Oil,2015-12-01,29.68,CBOT Soybean
ZLY00,Soybean Oil,2016-01-01,29.76,CBOT Soybean
ZLY00,Soybean Oil,2016-02-01,29.14,CBOT Soybean
ZLY00,Soybean Oil,2016-03-01,32.72,CBOT Soybean
ZLY00,Soybean Oil,2016-04-01,31.38,CBOT Soybean
ZLY00,Soybean Oil,2016-05-01,30.45,CBOT Soybean
ZLY00,Soybean Oil,2016-06-01,29.76,CBOT Soybean
ZLY00,Soybean Oil,2016-07-01,28.85,CBOT Soybean
ZLY00,Soybean Oil,2016-08-01,31.73,CBOT Soybean
ZLY00,Soybean Oil,2016-09-01,32.49,CBOT Soybean
ZLY00,Soybean Oil,2016-10-01,34.8,CBOT Soybean
ZLY00,Soybean Oil,2016-11-01,36.04,CBOT Soybean
ZLY00,Soybean Oil,2016-12-01,32.92,CBOT Soybean
ZLY00,Soybean Oil,2017-01-01,32.2,CBOT Soybean
ZLY00,Soybean Oil,2017-02-01,31.79,CBOT Soybean
ZLY00,Soybean Oil,2017-03-01,29.53,CBOT Soybean
ZLY00,Soybean Oil,2017-04-01,29.58,CBOT Soybean
ZLY00,Soybean Oil,2017-05-01,29.47,CBOT Soybean
ZLY00,Soybean Oil,2017-06-01,32.18,CBOT Soybean
ZLY00,Soybean Oil,2017-07-01,33.96,CBOT Soybean
ZLY00,Soybean Oil,2017-08-01,33.96,CBOT Soybean
ZLY00,Soybean Oil,2017-09-01,31.2,CBOT Soybean
ZLY00,Soybean Oil,2017-10-01,33.38,CBOT Soybean
ZLY00,Soybean Oil,2017-11-01,32.75,CBOT Soybean
ZLY00,Soybean Oil,2017-12-01,32.21,CBOT Soybean
ZLY00,Soybean Oil,2018-01-01,31.67,CBOT Soybean
ZLY00,Soybean Oil,2018-02-01,30.58,CBOT Soybean
ZLY00,Soybean Oil,2018-03-01,30.22,CBOT Soybean
ZLY00,Soybean Oil,2018-04-01,28.7,CBOT Soybean
ZLY00,Soybean Oil,2018-05-01,29.47,CBOT Soybean
ZLY00,Soybean Oil,2018-06-01,27.85,CBOT Soybean
ZLY00,Soybean Oil,2018-07-01,27.61,CBOT Soybean
ZLY00,Soybean Oil,2018-08-01,28.12,CBOT Soybean
ZLY00,Soybean Oil,2018-09-01,28.56,CBOT Soybean
ZLY00,Soybean Oil,2018-10-01,28.22,CBOT Soybean
